,Zipcode,Age group,Estimate
0,60002,Under 5 years,1078.0
1,60004,Under 5 years,3326.0
2,60005,Under 5 years,1621.0
3,60007,Under 5 years,1365.0
4,60008,Under 5 years,1898.0
5,60010,Under 5 years,2131.0
6,60012,Under 5 years,425.0
7,60013,Under 5 years,1346.0
8,60014,Under 5 years,2449.0
9,60015,Under 5 years,1498.0
10,60016,Under 5 years,3366.0
11,60018,Under 5 years,1779.0
12,60020,Under 5 years,708.0
13,60021,Under 5 years,211.0
14,60022,Under 5 years,401.0
15,60025,Under 5 years,2670.0
16,60026,Under 5 years,698.0
17,60029,Under 5 years,16.0
18,60030,Under 5 years,1874.0
19,60031,Under 5 years,1785.0
20,60033,Under 5 years,851.0
21,60034,Under 5 years,170.0
22,60035,Under 5 years,1961.0
23,60040,Under 5 years,516.0
24,60041,Under 5 years,326.0
25,60042,Under 5 years,622.0
26,60043,Under 5 years,146.0
27,60044,Under 5 years,478.0
28,60045,Under 5 years,899.0
29,60046,Under 5 years,2191.0
30,60047,Under 5 years,2169.0
31,60048,Under 5 years,1552.0
32,60050,Under 5 years,1384.0
33,60051,Under 5 years,1482.0
34,60053,Under 5 years,1082.0
35,60056,Under 5 years,4033.0
36,60060,Under 5 years,2207.0
37,60061,Under 5 years,1263.0
38,60062,Under 5 years,2063.0
39,60064,Under 5 years,995.0
40,60067,Under 5 years,2456.0
41,60068,Under 5 years,2175.0
42,60069,Under 5 years,168.0
43,60070,Under 5 years,1198.0
44,60071,Under 5 years,167.0
45,60072,Under 5 years,45.0
46,60073,Under 5 years,4059.0
47,60074,Under 5 years,2789.0
48,60076,Under 5 years,2134.0
49,60077,Under 5 years,1982.0
50,60081,Under 5 years,792.0
51,60083,Under 5 years,418.0
52,60084,Under 5 years,1318.0
53,60085,Under 5 years,5227.0
54,60087,Under 5 years,1928.0
55,60088,Under 5 years,374.0
56,60089,Under 5 years,2147.0
57,60090,Under 5 years,2383.0
58,60091,Under 5 years,1649.0
59,60093,Under 5 years,1283.0
60,60096,Under 5 years,177.0
61,60097,Under 5 years,561.0
62,60098,Under 5 years,1693.0
63,60099,Under 5 years,1788.0
64,60101,Under 5 years,2222.0
65,60102,Under 5 years,1334.0
66,60103,Under 5 years,2344.0
67,60104,Under 5 years,1375.0
68,60106,Under 5 years,1602.0
69,60107,Under 5 years,1865.0
70,60108,Under 5 years,1316.0
71,60109,Under 5 years,40.0
72,60110,Under 5 years,2846.0
73,60111,Under 5 years,0.0
74,60112,Under 5 years,389.0
75,60113,Under 5 years,17.0
76,60115,Under 5 years,2102.0
77,60118,Under 5 years,1047.0
78,60119,Under 5 years,521.0
79,60120,Under 5 years,4250.0
80,60123,Under 5 years,3412.0
81,60124,Under 5 years,1205.0
82,60126,Under 5 years,3142.0
83,60129,Under 5 years,23.0
84,60130,Under 5 years,748.0
85,60131,Under 5 years,1025.0
86,60133,Under 5 years,1726.0
87,60134,Under 5 years,1526.0
88,60135,Under 5 years,400.0
89,60136,Under 5 years,742.0
90,60137,Under 5 years,2401.0
91,60139,Under 5 years,2334.0
92,60140,Under 5 years,859.0
93,60141,Under 5 years,0.0
94,60142,Under 5 years,1301.0
95,60143,Under 5 years,403.0
96,60144,Under 5 years,0.0
97,60145,Under 5 years,103.0
98,60146,Under 5 years,68.0
99,60148,Under 5 years,3362.0
100,60150,Under 5 years,174.0
101,60151,Under 5 years,193.0
102,60152,Under 5 years,907.0
103,60153,Under 5 years,1130.0
104,60154,Under 5 years,704.0
105,60155,Under 5 years,421.0
106,60156,Under 5 years,1991.0
107,60157,Under 5 years,124.0
108,60160,Under 5 years,1833.0
109,60162,Under 5 years,451.0
110,60163,Under 5 years,400.0
111,60164,Under 5 years,952.0
112,60165,Under 5 years,408.0
113,60169,Under 5 years,2230.0
114,60171,Under 5 years,567.0
115,60172,Under 5 years,1221.0
116,60173,Under 5 years,922.0
117,60174,Under 5 years,1290.0
118,60175,Under 5 years,1355.0
119,60176,Under 5 years,578.0
