,Zipcode,Gender,Estimate
0,60002,Male,11960.0
1,60004,Male,24964.0
2,60005,Male,14755.0
3,60007,Male,15628.0
4,60008,Male,11319.0
5,60010,Male,22431.0
6,60012,Male,5449.0
7,60013,Male,13463.0
8,60014,Male,23973.0
9,60015,Male,13313.0
10,60016,Male,28567.0
11,60018,Male,14095.0
12,60020,Male,4727.0
13,60021,Male,2783.0
14,60022,Male,3949.0
15,60025,Male,20128.0
16,60026,Male,6520.0
17,60029,Male,274.0
18,60030,Male,18202.0
19,60031,Male,18385.0
20,60033,Male,6555.0
21,60034,Male,1086.0
22,60035,Male,14242.0
23,60040,Male,2744.0
24,60041,Male,4199.0
25,60042,Male,4162.0
26,60043,Male,1191.0
27,60044,Male,4744.0
28,60045,Male,10485.0
29,60046,Male,17295.0
30,60047,Male,20845.0
31,60048,Male,14438.0
32,60050,Male,15680.0
33,60051,Male,11827.0
34,60053,Male,11308.0
35,60056,Male,26801.0
36,60060,Male,19066.0
37,60061,Male,13175.0
38,60062,Male,19004.0
39,60064,Male,7911.0
40,60067,Male,17851.0
41,60068,Male,18250.0
42,60069,Male,4026.0
43,60070,Male,8193.0
44,60071,Male,1817.0
45,60072,Male,499.0
46,60073,Male,31392.0
47,60074,Male,18476.0
48,60076,Male,14455.0
49,60077,Male,13459.0
50,60081,Male,5224.0
51,60083,Male,4882.0
52,60084,Male,8448.0
53,60085,Male,35553.0
54,60087,Male,12429.0
55,60088,Male,9271.0
56,60089,Male,19280.0
57,60090,Male,18840.0
58,60091,Male,13184.0
59,60093,Male,9574.0
60,60096,Male,3344.0
61,60097,Male,5504.0
62,60098,Male,15858.0
63,60099,Male,14252.0
64,60101,Male,18981.0
65,60102,Male,16187.0
66,60103,Male,21172.0
67,60104,Male,8603.0
68,60106,Male,10100.0
69,60107,Male,19833.0
70,60108,Male,10857.0
71,60109,Male,223.0
72,60110,Male,19342.0
73,60111,Male,66.0
74,60112,Male,2458.0
75,60113,Male,162.0
76,60115,Male,22242.0
77,60118,Male,7845.0
78,60119,Male,5222.0
79,60120,Male,25732.0
80,60123,Male,24893.0
81,60124,Male,11085.0
82,60126,Male,24087.0
83,60129,Male,127.0
84,60130,Male,6358.0
85,60131,Male,8657.0
86,60133,Male,18074.0
87,60134,Male,13958.0
88,60135,Male,3604.0
89,60136,Male,4083.0
90,60137,Male,18462.0
91,60139,Male,16955.0
92,60140,Male,8900.0
93,60141,Male,285.0
94,60142,Male,14494.0
95,60143,Male,5421.0
96,60144,Male,29.0
97,60145,Male,1830.0
98,60146,Male,1127.0
99,60148,Male,25082.0
100,60150,Male,1127.0
101,60151,Male,2159.0
102,60152,Male,5928.0
103,60153,Male,11488.0
104,60154,Male,7693.0
105,60155,Male,3922.0
106,60156,Male,13878.0
107,60157,Male,1411.0
108,60160,Male,13099.0
109,60162,Male,3949.0
110,60163,Male,2715.0
111,60164,Male,10741.0
112,60165,Male,2436.0
113,60169,Male,16173.0
114,60171,Male,4708.0
115,60172,Male,11249.0
116,60173,Male,6199.0
117,60174,Male,14824.0
118,60175,Male,13771.0
119,60176,Male,6107.0
120,60177,Male,11862.0
121,60178,Male,10356.0
122,60180,Male,923.0
123,60181,Male,14474.0
124,60184,Male,1130.0
125,60185,Male,17597.0
126,60187,Male,14854.0
127,60188,Male,20436.0
128,60189,Male,15018.0
129,60190,Male,5706.0
130,60191,Male,7206.0
131,60192,Male,8037.0
132,60193,Male,19078.0
133,60194,Male,9355.0
134,60195,Male,2061.0
135,60201,Male,20013.0
136,60202,Male,15330.0
137,60203,Male,1891.0
138,60301,Male,1381.0
139,60302,Male,14734.0
140,60304,Male,8230.0
141,60305,Male,5313.0
142,60401,Male,3610.0
143,60402,Male,31697.0
144,60403,Male,11277.0
145,60404,Male,9680.0
146,60406,Male,13186.0
147,60407,Male,981.0
148,60408,Male,2845.0
149,60409,Male,16317.0
150,60410,Male,6632.0
151,60411,Male,27188.0
152,60415,Male,7128.0
153,60416,Male,4789.0
154,60417,Male,7397.0
155,60419,Male,10286.0
