,Zipcode,Race group,Estimate
0,60002,White,22281.0
1,60004,White,42705.0
2,60005,White,24060.0
3,60007,White,27894.0
4,60008,White,17186.0
5,60010,White,38340.0
6,60012,White,11138.0
7,60013,White,25738.0
8,60014,White,44005.0
9,60015,White,24666.0
10,60016,White,40904.0
11,60018,White,22905.0
12,60020,White,9911.0
13,60021,White,5368.0
14,60022,White,7667.0
15,60025,White,34070.0
16,60026,White,10378.0
17,60029,White,437.0
18,60030,White,30866.0
19,60031,White,28546.0
20,60033,White,12587.0
21,60034,White,2178.0
22,60035,White,27629.0
23,60040,White,3816.0
24,60041,White,7722.0
25,60042,White,8088.0
26,60043,White,2254.0
27,60044,White,8922.0
28,60045,White,18994.0
29,60046,White,31084.0
30,60047,White,35960.0
31,60048,White,26189.0
32,60050,White,30451.0
33,60051,White,22414.0
34,60053,White,14550.0
35,60056,White,41606.0
36,60060,White,29175.0
37,60061,White,19205.0
38,60062,White,31865.0
39,60064,White,5318.0
40,60067,White,30394.0
41,60068,White,34532.0
42,60069,White,6560.0
43,60070,White,10572.0
44,60071,White,3512.0
45,60072,White,989.0
46,60073,White,48002.0
47,60074,White,24045.0
48,60076,White,17826.0
49,60077,White,16099.0
50,60081,White,9251.0
51,60083,White,7268.0
52,60084,White,14722.0
53,60085,White,33414.0
54,60087,White,14400.0
55,60088,White,9026.0
56,60089,White,29282.0
57,60090,White,24125.0
58,60091,White,23226.0
59,60093,White,18454.0
60,60096,White,6130.0
61,60097,White,10359.0
62,60098,White,30978.0
63,60099,White,19547.0
64,60101,White,26992.0
65,60102,White,28927.0
66,60103,White,32182.0
67,60104,White,3179.0
68,60106,White,15911.0
69,60107,White,27543.0
70,60108,White,17950.0
71,60109,White,496.0
72,60110,White,20864.0
73,60111,White,124.0
74,60112,White,3892.0
75,60113,White,254.0
76,60115,White,34683.0
77,60118,White,14367.0
78,60119,White,10176.0
79,60120,White,30148.0
80,60123,White,32347.0
81,60124,White,18838.0
82,60126,White,44628.0
83,60129,White,207.0
84,60130,White,8572.0
85,60131,White,14142.0
86,60133,White,23063.0
87,60134,White,27574.0
88,60135,White,6609.0
89,60136,White,6531.0
90,60137,White,33708.0
91,60139,White,18251.0
92,60140,White,15970.0
93,60141,White,162.0
94,60142,White,26231.0
95,60143,White,9964.0
96,60144,White,67.0
97,60145,White,3038.0
98,60146,White,2194.0
99,60148,White,41877.0
100,60150,White,1789.0
101,60151,White,4143.0
102,60152,White,12030.0
103,60153,White,4911.0
104,60154,White,11397.0
105,60155,White,1638.0
106,60156,White,25402.0
107,60157,White,2633.0
108,60160,White,15508.0
109,60162,White,2832.0
110,60163,White,2634.0
