,Zipcode,Stats,AGE,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,18 to 34 years,495.0,10.9,4548.0
1,60002,Estimate,18 to 64 years,1093.0,7.4,14860.0
2,60002,Estimate,35 to 64 years,598.0,5.8,10312.0
3,60002,Estimate,5 to 17 years,343.0,7.9,4329.0
4,60002,Estimate,60 years and over,488.0,9.1,5361.0
5,60002,Estimate,65 years and over,275.0,7.5,3643.0
6,60002,Estimate,Related children of householder under 18 years,477.0,8.9,5381.0
7,60002,Estimate,Under 18 years,482.0,8.9,5386.0
8,60002,Estimate,Under 5 years,139.0,13.2,1057.0
9,60002,Margin of Error,18 to 34 years,181.0,3.7,476.0
10,60002,Margin of Error,18 to 64 years,241.0,1.6,513.0
11,60002,Margin of Error,35 to 64 years,174.0,1.7,502.0
12,60002,Margin of Error,5 to 17 years,175.0,4.0,468.0
13,60002,Margin of Error,60 years and over,155.0,2.9,468.0
14,60002,Margin of Error,65 years and over,113.0,3.1,378.0
15,60002,Margin of Error,Related children of householder under 18 years,188.0,3.4,455.0
16,60002,Margin of Error,Under 18 years,188.0,3.4,453.0
17,60002,Margin of Error,Under 5 years,89.0,7.6,197.0
18,60004,Estimate,18 to 34 years,413.0,5.2,7926.0
19,60004,Estimate,18 to 64 years,1305.0,4.5,29290.0
20,60004,Estimate,35 to 64 years,892.0,4.2,21364.0
21,60004,Estimate,5 to 17 years,546.0,6.0,9108.0
22,60004,Estimate,60 years and over,713.0,5.5,12847.0
23,60004,Estimate,65 years and over,604.0,6.4,9385.0
24,60004,Estimate,Related children of householder under 18 years,698.0,5.7,12350.0
25,60004,Estimate,Under 18 years,698.0,5.7,12350.0
26,60004,Estimate,Under 5 years,152.0,4.7,3242.0
27,60004,Margin of Error,18 to 34 years,152.0,1.8,663.0
28,60004,Margin of Error,18 to 64 years,334.0,1.1,1076.0
29,60004,Margin of Error,35 to 64 years,291.0,1.3,851.0
30,60004,Margin of Error,5 to 17 years,276.0,2.9,739.0
31,60004,Margin of Error,60 years and over,369.0,2.8,735.0
32,60004,Margin of Error,65 years and over,353.0,3.6,735.0
33,60004,Margin of Error,Related children of householder under 18 years,361.0,2.8,959.0
34,60004,Margin of Error,Under 18 years,361.0,2.8,959.0
35,60004,Margin of Error,Under 5 years,134.0,4.1,485.0
36,60005,Estimate,18 to 34 years,175.0,3.7,4670.0
37,60005,Estimate,18 to 64 years,858.0,5.0,17130.0
38,60005,Estimate,35 to 64 years,683.0,5.5,12460.0
39,60005,Estimate,5 to 17 years,208.0,4.3,4799.0
40,60005,Estimate,60 years and over,882.0,11.8,7471.0
41,60005,Estimate,65 years and over,625.0,11.6,5380.0
42,60005,Estimate,Related children of householder under 18 years,230.0,3.6,6408.0
43,60005,Estimate,Under 18 years,230.0,3.6,6408.0
44,60005,Estimate,Under 5 years,22.0,1.4,1609.0
45,60005,Margin of Error,18 to 34 years,122.0,2.6,425.0
46,60005,Margin of Error,18 to 64 years,302.0,1.7,918.0
47,60005,Margin of Error,35 to 64 years,246.0,1.9,844.0
48,60005,Margin of Error,5 to 17 years,179.0,3.6,519.0
49,60005,Margin of Error,60 years and over,240.0,3.1,627.0
50,60005,Margin of Error,65 years and over,216.0,4.0,509.0
51,60005,Margin of Error,Related children of householder under 18 years,193.0,2.9,771.0
52,60005,Margin of Error,Under 18 years,193.0,2.9,771.0
53,60005,Margin of Error,Under 5 years,39.0,2.5,499.0
54,60007,Estimate,18 to 34 years,229.0,4.1,5621.0
55,60007,Estimate,18 to 64 years,687.0,3.5,19697.0
56,60007,Estimate,35 to 64 years,458.0,3.3,14076.0
57,60007,Estimate,5 to 17 years,251.0,4.8,5222.0
58,60007,Estimate,60 years and over,332.0,3.9,8597.0
59,60007,Estimate,65 years and over,217.0,3.5,6274.0
60,60007,Estimate,Related children of householder under 18 years,380.0,5.8,6572.0
61,60007,Estimate,Under 18 years,395.0,6.0,6587.0
62,60007,Estimate,Under 5 years,144.0,10.5,1365.0
63,60007,Margin of Error,18 to 34 years,127.0,2.2,609.0
64,60007,Margin of Error,18 to 64 years,211.0,1.1,609.0
65,60007,Margin of Error,35 to 64 years,130.0,0.9,667.0
66,60007,Margin of Error,5 to 17 years,249.0,4.6,576.0
67,60007,Margin of Error,60 years and over,130.0,1.5,665.0
68,60007,Margin of Error,65 years and over,102.0,1.6,546.0
69,60007,Margin of Error,Related children of householder under 18 years,233.0,3.5,545.0
70,60007,Margin of Error,Under 18 years,229.0,3.4,544.0
71,60007,Margin of Error,Under 5 years,152.0,10.2,306.0
72,60008,Estimate,18 to 34 years,379.0,7.0,5406.0
73,60008,Estimate,18 to 64 years,827.0,6.1,13482.0
74,60008,Estimate,35 to 64 years,448.0,5.5,8076.0
75,60008,Estimate,5 to 17 years,204.0,6.7,3061.0
76,60008,Estimate,60 years and over,230.0,5.3,4305.0
77,60008,Estimate,65 years and over,184.0,5.5,3354.0
78,60008,Estimate,Related children of householder under 18 years,277.0,5.6,4949.0
79,60008,Estimate,Under 18 years,287.0,5.8,4959.0
80,60008,Estimate,Under 5 years,83.0,4.4,1898.0
81,60008,Margin of Error,18 to 34 years,205.0,3.7,622.0
82,60008,Margin of Error,18 to 64 years,304.0,2.3,643.0
83,60008,Margin of Error,35 to 64 years,202.0,2.5,636.0
84,60008,Margin of Error,5 to 17 years,192.0,6.1,491.0
85,60008,Margin of Error,60 years and over,142.0,3.3,533.0
86,60008,Margin of Error,65 years and over,112.0,3.5,476.0
87,60008,Margin of Error,Related children of householder under 18 years,223.0,4.4,488.0
88,60008,Margin of Error,Under 18 years,222.0,4.4,486.0
89,60008,Margin of Error,Under 5 years,63.0,3.7,485.0
90,60010,Estimate,18 to 34 years,248.0,4.7,5235.0
91,60010,Estimate,18 to 64 years,867.0,3.4,25348.0
92,60010,Estimate,35 to 64 years,619.0,3.1,20113.0
93,60010,Estimate,5 to 17 years,343.0,3.7,9295.0
94,60010,Estimate,60 years and over,562.0,4.6,12133.0
95,60010,Estimate,65 years and over,458.0,5.0,9239.0
96,60010,Estimate,Related children of householder under 18 years,337.0,3.0,11377.0
97,60010,Estimate,Under 18 years,356.0,3.1,11396.0
98,60010,Estimate,Under 5 years,13.0,0.6,2101.0
99,60010,Margin of Error,18 to 34 years,156.0,3.1,584.0
100,60010,Margin of Error,18 to 64 years,301.0,1.2,972.0
101,60010,Margin of Error,35 to 64 years,187.0,0.9,617.0
102,60010,Margin of Error,5 to 17 years,241.0,2.6,640.0
103,60010,Margin of Error,60 years and over,197.0,1.6,715.0
104,60010,Margin of Error,65 years and over,184.0,2.0,644.0
105,60010,Margin of Error,Related children of householder under 18 years,240.0,2.1,682.0
106,60010,Margin of Error,Under 18 years,241.0,2.1,683.0
107,60010,Margin of Error,Under 5 years,18.0,0.9,287.0
108,60012,Estimate,18 to 34 years,46.0,2.8,1647.0
109,60012,Estimate,18 to 64 years,257.0,3.5,7305.0
110,60012,Estimate,35 to 64 years,211.0,3.7,5658.0
111,60012,Estimate,5 to 17 years,81.0,3.7,2176.0
112,60012,Estimate,60 years and over,66.0,2.7,2406.0
113,60012,Estimate,65 years and over,14.0,0.9,1478.0
114,60012,Estimate,Related children of householder under 18 years,96.0,3.8,2547.0
115,60012,Estimate,Under 18 years,108.0,4.2,2559.0
116,60012,Estimate,Under 5 years,27.0,7.0,383.0
117,60012,Margin of Error,18 to 34 years,44.0,2.7,327.0
118,60012,Margin of Error,18 to 64 years,151.0,2.0,601.0
119,60012,Margin of Error,35 to 64 years,125.0,2.1,478.0
120,60012,Margin of Error,5 to 17 years,56.0,2.6,324.0
121,60012,Margin of Error,60 years and over,60.0,2.5,299.0
122,60012,Margin of Error,65 years and over,14.0,0.9,235.0
123,60012,Margin of Error,Related children of householder under 18 years,64.0,2.5,350.0
124,60012,Margin of Error,Under 18 years,67.0,2.7,348.0
125,60012,Margin of Error,Under 5 years,31.0,8.2,142.0
126,60013,Estimate,18 to 34 years,313.0,5.6,5542.0
127,60013,Estimate,18 to 64 years,612.0,3.5,17493.0
128,60013,Estimate,35 to 64 years,299.0,2.5,11951.0
129,60013,Estimate,5 to 17 years,219.0,4.9,4471.0
130,60013,Estimate,60 years and over,155.0,3.0,5155.0
131,60013,Estimate,65 years and over,131.0,4.2,3152.0
132,60013,Estimate,Related children of householder under 18 years,246.0,4.2,5802.0
133,60013,Estimate,Under 18 years,252.0,4.3,5808.0
134,60013,Estimate,Under 5 years,33.0,2.5,1337.0
