,Zipcode,Stats,ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,125 percent of poverty level,,,2350.0
1,60002,Estimate,150 percent of poverty level,,,2800.0
2,60002,Estimate,185 percent of poverty level,,,3489.0
3,60002,Estimate,200 percent of poverty level,,,3936.0
4,60002,Estimate,300 percent of poverty level,,,6409.0
5,60002,Estimate,400 percent of poverty level,,,9471.0
6,60002,Estimate,50 percent of poverty level,,,979.0
7,60002,Estimate,500 percent of poverty level,,,13113.0
8,60002,Margin of Error,125 percent of poverty level,,,519.0
9,60002,Margin of Error,150 percent of poverty level,,,646.0
10,60002,Margin of Error,185 percent of poverty level,,,671.0
11,60002,Margin of Error,200 percent of poverty level,,,700.0
12,60002,Margin of Error,300 percent of poverty level,,,869.0
13,60002,Margin of Error,400 percent of poverty level,,,871.0
14,60002,Margin of Error,50 percent of poverty level,,,356.0
15,60002,Margin of Error,500 percent of poverty level,,,1045.0
16,60004,Estimate,125 percent of poverty level,,,3733.0
17,60004,Estimate,150 percent of poverty level,,,4723.0
18,60004,Estimate,185 percent of poverty level,,,6490.0
19,60004,Estimate,200 percent of poverty level,,,7219.0
20,60004,Estimate,300 percent of poverty level,,,12620.0
21,60004,Estimate,400 percent of poverty level,,,17422.0
22,60004,Estimate,50 percent of poverty level,,,1144.0
23,60004,Estimate,500 percent of poverty level,,,22346.0
24,60004,Margin of Error,125 percent of poverty level,,,751.0
25,60004,Margin of Error,150 percent of poverty level,,,893.0
26,60004,Margin of Error,185 percent of poverty level,,,1042.0
27,60004,Margin of Error,200 percent of poverty level,,,1087.0
28,60004,Margin of Error,300 percent of poverty level,,,1308.0
29,60004,Margin of Error,400 percent of poverty level,,,1472.0
30,60004,Margin of Error,50 percent of poverty level,,,523.0
31,60004,Margin of Error,500 percent of poverty level,,,1493.0
32,60005,Estimate,125 percent of poverty level,,,2100.0
33,60005,Estimate,150 percent of poverty level,,,2514.0
34,60005,Estimate,185 percent of poverty level,,,4452.0
35,60005,Estimate,200 percent of poverty level,,,5208.0
36,60005,Estimate,300 percent of poverty level,,,8932.0
37,60005,Estimate,400 percent of poverty level,,,11620.0
38,60005,Estimate,50 percent of poverty level,,,480.0
39,60005,Estimate,500 percent of poverty level,,,14254.0
40,60005,Margin of Error,125 percent of poverty level,,,528.0
41,60005,Margin of Error,150 percent of poverty level,,,573.0
42,60005,Margin of Error,185 percent of poverty level,,,1231.0
43,60005,Margin of Error,200 percent of poverty level,,,1211.0
44,60005,Margin of Error,300 percent of poverty level,,,1368.0
45,60005,Margin of Error,400 percent of poverty level,,,1260.0
46,60005,Margin of Error,50 percent of poverty level,,,156.0
47,60005,Margin of Error,500 percent of poverty level,,,1259.0
48,60007,Estimate,125 percent of poverty level,,,1894.0
49,60007,Estimate,150 percent of poverty level,,,2219.0
50,60007,Estimate,185 percent of poverty level,,,3135.0
51,60007,Estimate,200 percent of poverty level,,,4348.0
52,60007,Estimate,300 percent of poverty level,,,9260.0
53,60007,Estimate,400 percent of poverty level,,,13602.0
54,60007,Estimate,50 percent of poverty level,,,774.0
55,60007,Estimate,500 percent of poverty level,,,18894.0
56,60007,Margin of Error,125 percent of poverty level,,,518.0
57,60007,Margin of Error,150 percent of poverty level,,,527.0
58,60007,Margin of Error,185 percent of poverty level,,,699.0
59,60007,Margin of Error,200 percent of poverty level,,,856.0
60,60007,Margin of Error,300 percent of poverty level,,,1031.0
61,60007,Margin of Error,400 percent of poverty level,,,1229.0
62,60007,Margin of Error,50 percent of poverty level,,,397.0
63,60007,Margin of Error,500 percent of poverty level,,,1197.0
64,60008,Estimate,125 percent of poverty level,,,1966.0
65,60008,Estimate,150 percent of poverty level,,,2792.0
66,60008,Estimate,185 percent of poverty level,,,3855.0
67,60008,Estimate,200 percent of poverty level,,,4724.0
68,60008,Estimate,300 percent of poverty level,,,8514.0
69,60008,Estimate,400 percent of poverty level,,,12317.0
70,60008,Estimate,50 percent of poverty level,,,564.0
71,60008,Estimate,500 percent of poverty level,,,14733.0
72,60008,Margin of Error,125 percent of poverty level,,,544.0
73,60008,Margin of Error,150 percent of poverty level,,,846.0
74,60008,Margin of Error,185 percent of poverty level,,,1030.0
75,60008,Margin of Error,200 percent of poverty level,,,1054.0
76,60008,Margin of Error,300 percent of poverty level,,,1307.0
77,60008,Margin of Error,400 percent of poverty level,,,914.0
78,60008,Margin of Error,50 percent of poverty level,,,220.0
79,60008,Margin of Error,500 percent of poverty level,,,853.0
80,60010,Estimate,125 percent of poverty level,,,2126.0
81,60010,Estimate,150 percent of poverty level,,,2452.0
82,60010,Estimate,185 percent of poverty level,,,3310.0
83,60010,Estimate,200 percent of poverty level,,,3567.0
84,60010,Estimate,300 percent of poverty level,,,6644.0
85,60010,Estimate,400 percent of poverty level,,,10492.0
86,60010,Estimate,50 percent of poverty level,,,711.0
87,60010,Estimate,500 percent of poverty level,,,13687.0
88,60010,Margin of Error,125 percent of poverty level,,,594.0
89,60010,Margin of Error,150 percent of poverty level,,,589.0
90,60010,Margin of Error,185 percent of poverty level,,,644.0
91,60010,Margin of Error,200 percent of poverty level,,,677.0
92,60010,Margin of Error,300 percent of poverty level,,,825.0
93,60010,Margin of Error,400 percent of poverty level,,,1060.0
94,60010,Margin of Error,50 percent of poverty level,,,222.0
95,60010,Margin of Error,500 percent of poverty level,,,1233.0
96,60012,Estimate,125 percent of poverty level,,,411.0
97,60012,Estimate,150 percent of poverty level,,,424.0
98,60012,Estimate,185 percent of poverty level,,,609.0
99,60012,Estimate,200 percent of poverty level,,,705.0
100,60012,Estimate,300 percent of poverty level,,,1537.0
101,60012,Estimate,400 percent of poverty level,,,2821.0
102,60012,Estimate,50 percent of poverty level,,,334.0
103,60012,Estimate,500 percent of poverty level,,,4295.0
104,60012,Margin of Error,125 percent of poverty level,,,203.0
105,60012,Margin of Error,150 percent of poverty level,,,206.0
106,60012,Margin of Error,185 percent of poverty level,,,250.0
107,60012,Margin of Error,200 percent of poverty level,,,247.0
108,60012,Margin of Error,300 percent of poverty level,,,385.0
109,60012,Margin of Error,400 percent of poverty level,,,569.0
110,60012,Margin of Error,50 percent of poverty level,,,199.0
111,60012,Margin of Error,500 percent of poverty level,,,687.0
112,60013,Estimate,125 percent of poverty level,,,1139.0
113,60013,Estimate,150 percent of poverty level,,,1425.0
114,60013,Estimate,185 percent of poverty level,,,2532.0
115,60013,Estimate,200 percent of poverty level,,,3013.0
116,60013,Estimate,300 percent of poverty level,,,5937.0
117,60013,Estimate,400 percent of poverty level,,,9058.0
118,60013,Estimate,50 percent of poverty level,,,465.0
119,60013,Estimate,500 percent of poverty level,,,12639.0
120,60013,Margin of Error,125 percent of poverty level,,,258.0
121,60013,Margin of Error,150 percent of poverty level,,,302.0
122,60013,Margin of Error,185 percent of poverty level,,,653.0
123,60013,Margin of Error,200 percent of poverty level,,,644.0
124,60013,Margin of Error,300 percent of poverty level,,,852.0
125,60013,Margin of Error,400 percent of poverty level,,,945.0
126,60013,Margin of Error,50 percent of poverty level,,,152.0
127,60013,Margin of Error,500 percent of poverty level,,,1144.0
128,60014,Estimate,125 percent of poverty level,,,3672.0
129,60014,Estimate,150 percent of poverty level,,,4123.0
130,60014,Estimate,185 percent of poverty level,,,5979.0
131,60014,Estimate,200 percent of poverty level,,,6695.0
132,60014,Estimate,300 percent of poverty level,,,13361.0
133,60014,Estimate,400 percent of poverty level,,,21282.0
134,60014,Estimate,50 percent of poverty level,,,1438.0
135,60014,Estimate,500 percent of poverty level,,,27683.0
136,60014,Margin of Error,125 percent of poverty level,,,745.0
137,60014,Margin of Error,150 percent of poverty level,,,779.0
138,60014,Margin of Error,185 percent of poverty level,,,856.0
