,Zipcode,Stats,EDUCATIONAL ATTAINMENT,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,Bachelor's degree or higher,124.0,2.1,5926.0
1,60002,Estimate,High school graduate (includes equivalency),349.0,8.6,4037.0
2,60002,Estimate,Less than high school graduate,67.0,9.0,745.0
3,60002,Estimate,Population 25 years and over,1132.0,6.9,16521.0
4,60002,Estimate,"Some college, associate's degree",592.0,10.2,5813.0
5,60002,Margin of Error,Bachelor's degree or higher,58.0,1.0,449.0
6,60002,Margin of Error,High school graduate (includes equivalency),104.0,2.6,412.0
7,60002,Margin of Error,Less than high school graduate,49.0,6.7,166.0
8,60002,Margin of Error,Population 25 years and over,241.0,1.5,452.0
9,60002,Margin of Error,"Some college, associate's degree",179.0,2.9,526.0
10,60004,Estimate,Bachelor's degree or higher,517.0,2.5,20816.0
11,60004,Estimate,High school graduate (includes equivalency),454.0,7.8,5815.0
12,60004,Estimate,Less than high school graduate,222.0,15.3,1450.0
13,60004,Estimate,Population 25 years and over,1732.0,4.8,36218.0
14,60004,Estimate,"Some college, associate's degree",539.0,6.6,8137.0
15,60004,Margin of Error,Bachelor's degree or higher,200.0,1.0,921.0
16,60004,Margin of Error,High school graduate (includes equivalency),260.0,4.2,683.0
17,60004,Margin of Error,Less than high school graduate,115.0,7.5,359.0
18,60004,Margin of Error,Population 25 years and over,486.0,1.3,873.0
19,60004,Margin of Error,"Some college, associate's degree",266.0,3.2,631.0
20,60005,Estimate,Bachelor's degree or higher,490.0,4.3,11351.0
21,60005,Estimate,High school graduate (includes equivalency),368.0,10.5,3500.0
22,60005,Estimate,Less than high school graduate,194.0,14.8,1310.0
23,60005,Estimate,Population 25 years and over,1451.0,6.9,21047.0
24,60005,Estimate,"Some college, associate's degree",399.0,8.2,4886.0
25,60005,Margin of Error,Bachelor's degree or higher,193.0,1.6,762.0
26,60005,Margin of Error,High school graduate (includes equivalency),172.0,4.8,486.0
27,60005,Margin of Error,Less than high school graduate,130.0,10.5,289.0
28,60005,Margin of Error,Population 25 years and over,360.0,1.7,1100.0
29,60005,Margin of Error,"Some college, associate's degree",183.0,3.7,710.0
30,60007,Estimate,Bachelor's degree or higher,130.0,1.5,8885.0
31,60007,Estimate,High school graduate (includes equivalency),211.0,3.8,5606.0
32,60007,Estimate,Less than high school graduate,184.0,15.3,1205.0
33,60007,Estimate,Population 25 years and over,755.0,3.2,23810.0
34,60007,Estimate,"Some college, associate's degree",230.0,2.8,8114.0
35,60007,Margin of Error,Bachelor's degree or higher,78.0,0.9,655.0
36,60007,Margin of Error,High school graduate (includes equivalency),122.0,2.2,563.0
37,60007,Margin of Error,Less than high school graduate,95.0,8.6,299.0
38,60007,Margin of Error,Population 25 years and over,180.0,0.8,623.0
39,60007,Margin of Error,"Some college, associate's degree",111.0,1.3,677.0
40,60008,Estimate,Bachelor's degree or higher,102.0,1.9,5502.0
41,60008,Estimate,High school graduate (includes equivalency),252.0,7.7,3272.0
42,60008,Estimate,Less than high school graduate,288.0,11.0,2616.0
43,60008,Estimate,Population 25 years and over,801.0,5.2,15278.0
44,60008,Estimate,"Some college, associate's degree",159.0,4.1,3888.0
45,60008,Margin of Error,Bachelor's degree or higher,79.0,1.4,581.0
46,60008,Margin of Error,High school graduate (includes equivalency),137.0,4.3,493.0
47,60008,Margin of Error,Less than high school graduate,169.0,6.5,574.0
48,60008,Margin of Error,Population 25 years and over,233.0,1.6,769.0
49,60008,Margin of Error,"Some college, associate's degree",71.0,1.8,579.0
50,60010,Estimate,Bachelor's degree or higher,606.0,2.8,21966.0
51,60010,Estimate,High school graduate (includes equivalency),221.0,7.3,3032.0
52,60010,Estimate,Less than high school graduate,111.0,11.4,970.0
53,60010,Estimate,Population 25 years and over,1166.0,3.7,31766.0
54,60010,Estimate,"Some college, associate's degree",228.0,3.9,5798.0
55,60010,Margin of Error,Bachelor's degree or higher,174.0,0.8,895.0
56,60010,Margin of Error,High school graduate (includes equivalency),90.0,2.8,408.0
57,60010,Margin of Error,Less than high school graduate,96.0,9.7,243.0
58,60010,Margin of Error,Population 25 years and over,278.0,0.9,857.0
59,60010,Margin of Error,"Some college, associate's degree",96.0,1.6,539.0
60,60012,Estimate,Bachelor's degree or higher,141.0,3.1,4561.0
61,60012,Estimate,High school graduate (includes equivalency),60.0,4.3,1410.0
62,60012,Estimate,Less than high school graduate,0.0,0.0,103.0
63,60012,Estimate,Population 25 years and over,225.0,2.8,7912.0
64,60012,Estimate,"Some college, associate's degree",24.0,1.3,1838.0
65,60012,Margin of Error,Bachelor's degree or higher,106.0,2.3,460.0
66,60012,Margin of Error,High school graduate (includes equivalency),60.0,4.2,273.0
67,60012,Margin of Error,Less than high school graduate,19.0,26.5,57.0
68,60012,Margin of Error,Population 25 years and over,127.0,1.6,550.0
69,60012,Margin of Error,"Some college, associate's degree",22.0,1.2,287.0
70,60013,Estimate,Bachelor's degree or higher,115.0,1.4,8213.0
71,60013,Estimate,High school graduate (includes equivalency),209.0,5.9,3537.0
72,60013,Estimate,Less than high school graduate,36.0,5.5,649.0
73,60013,Estimate,Population 25 years and over,602.0,3.3,18484.0
74,60013,Estimate,"Some college, associate's degree",242.0,4.0,6085.0
75,60013,Margin of Error,Bachelor's degree or higher,62.0,0.8,492.0
76,60013,Margin of Error,High school graduate (includes equivalency),100.0,2.7,463.0
