,Zipcode,Stats,EMPLOYMENT STATUS,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,Civilian labor force 16 years and over,591.0,4.5,13226.0
1,60002,Estimate,Employed,397.0,3.2,12339.0
2,60002,Estimate,Employed Female,223.0,3.9,5718.0
3,60002,Estimate,Employed Male,174.0,2.6,6621.0
4,60002,Estimate,Unemployed,194.0,21.9,887.0
5,60002,Estimate,Unemployed Female,95.0,23.8,400.0
6,60002,Estimate,Unemployed Male,99.0,20.3,487.0
7,60002,Margin of Error,Civilian labor force 16 years and over,204.0,1.5,501.0
8,60002,Margin of Error,Employed,147.0,1.2,537.0
9,60002,Margin of Error,Employed Female,114.0,1.9,352.0
10,60002,Margin of Error,Employed Male,80.0,1.2,382.0
11,60002,Margin of Error,Unemployed,156.0,14.3,279.0
12,60002,Margin of Error,Unemployed Female,91.0,20.6,165.0
13,60002,Margin of Error,Unemployed Male,82.0,13.1,179.0
14,60004,Estimate,Civilian labor force 16 years and over,894.0,3.3,27210.0
15,60004,Estimate,Employed,650.0,2.5,26158.0
16,60004,Estimate,Employed Female,356.0,2.9,12121.0
17,60004,Estimate,Employed Male,294.0,2.1,14037.0
18,60004,Estimate,Unemployed,244.0,23.2,1052.0
19,60004,Estimate,Unemployed Female,128.0,31.5,406.0
20,60004,Estimate,Unemployed Male,116.0,18.0,646.0
21,60004,Margin of Error,Civilian labor force 16 years and over,232.0,0.9,1006.0
22,60004,Margin of Error,Employed,192.0,0.7,975.0
23,60004,Margin of Error,Employed Female,145.0,1.2,627.0
24,60004,Margin of Error,Employed Male,144.0,1.0,613.0
25,60004,Margin of Error,Unemployed,141.0,11.1,248.0
26,60004,Margin of Error,Unemployed Female,94.0,18.2,132.0
27,60004,Margin of Error,Unemployed Male,84.0,12.2,194.0
28,60005,Estimate,Civilian labor force 16 years and over,448.0,2.9,15684.0
29,60005,Estimate,Employed,375.0,2.5,15080.0
30,60005,Estimate,Employed Female,199.0,3.0,6638.0
31,60005,Estimate,Employed Male,176.0,2.1,8442.0
32,60005,Estimate,Unemployed,73.0,12.1,604.0
33,60005,Estimate,Unemployed Female,30.0,14.0,215.0
34,60005,Estimate,Unemployed Male,43.0,11.1,389.0
35,60005,Margin of Error,Civilian labor force 16 years and over,192.0,1.2,903.0
36,60005,Margin of Error,Employed,178.0,1.2,931.0
37,60005,Margin of Error,Employed Female,101.0,1.5,421.0
38,60005,Margin of Error,Employed Male,138.0,1.6,694.0
39,60005,Margin of Error,Unemployed,45.0,7.9,181.0
40,60005,Margin of Error,Unemployed Female,27.0,13.8,97.0
41,60005,Margin of Error,Unemployed Male,39.0,9.9,143.0
42,60007,Estimate,Civilian labor force 16 years and over,304.0,1.7,18017.0
43,60007,Estimate,Employed,243.0,1.4,17272.0
44,60007,Estimate,Employed Female,85.0,1.0,8521.0
45,60007,Estimate,Employed Male,158.0,1.8,8751.0
46,60007,Estimate,Unemployed,61.0,8.2,745.0
47,60007,Estimate,Unemployed Female,21.0,6.8,311.0
48,60007,Estimate,Unemployed Male,40.0,9.2,434.0
49,60007,Margin of Error,Civilian labor force 16 years and over,115.0,0.6,684.0
50,60007,Margin of Error,Employed,98.0,0.6,637.0
51,60007,Margin of Error,Employed Female,70.0,0.8,523.0
52,60007,Margin of Error,Employed Male,79.0,0.9,460.0
53,60007,Margin of Error,Unemployed,62.0,7.8,194.0
54,60007,Margin of Error,Unemployed Female,27.0,8.8,154.0
55,60007,Margin of Error,Unemployed Male,43.0,9.2,112.0
56,60008,Estimate,Civilian labor force 16 years and over,444.0,3.6,12234.0
57,60008,Estimate,Employed,313.0,2.7,11695.0
58,60008,Estimate,Employed Female,56.0,1.1,5123.0
59,60008,Estimate,Employed Male,257.0,3.9,6572.0
60,60008,Estimate,Unemployed,131.0,24.3,539.0
61,60008,Estimate,Unemployed Female,91.0,37.3,244.0
62,60008,Estimate,Unemployed Male,40.0,13.6,295.0
63,60008,Margin of Error,Civilian labor force 16 years and over,215.0,1.8,693.0
64,60008,Margin of Error,Employed,196.0,1.7,697.0
65,60008,Margin of Error,Employed Female,41.0,0.8,478.0
66,60008,Margin of Error,Employed Male,189.0,2.8,484.0
67,60008,Margin of Error,Unemployed,97.0,16.9,171.0
68,60008,Margin of Error,Unemployed Female,89.0,30.5,120.0
69,60008,Margin of Error,Unemployed Male,42.0,14.5,131.0
70,60010,Estimate,Civilian labor force 16 years and over,371.0,1.7,21787.0
