,Zipcode,Stats,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,1850.0,7.7,23889.0
1,60002,Margin of Error,428.0,1.8,415.0
2,60004,Estimate,2607.0,5.1,51025.0
3,60004,Margin of Error,690.0,1.3,1067.0
4,60005,Estimate,1713.0,5.9,28918.0
5,60005,Margin of Error,501.0,1.7,1037.0
6,60007,Estimate,1299.0,4.0,32558.0
7,60007,Margin of Error,414.0,1.3,197.0
8,60008,Estimate,1298.0,6.0,21795.0
9,60008,Margin of Error,460.0,2.1,680.0
10,60010,Estimate,1681.0,3.7,45983.0
11,60010,Margin of Error,555.0,1.2,1024.0
12,60012,Estimate,379.0,3.3,11342.0
13,60012,Margin of Error,202.0,1.7,738.0
14,60013,Estimate,995.0,3.8,26453.0
15,60013,Margin of Error,243.0,0.9,787.0
16,60014,Estimate,3044.0,6.5,46595.0
17,60014,Margin of Error,699.0,1.5,970.0
18,60015,Estimate,866.0,3.3,26030.0
19,60015,Margin of Error,307.0,1.2,569.0
20,60016,Estimate,5044.0,8.6,58785.0
21,60016,Margin of Error,811.0,1.4,1333.0
22,60018,Estimate,3530.0,12.6,28005.0
23,60018,Margin of Error,838.0,2.8,1404.0
24,60020,Estimate,906.0,8.7,10436.0
25,60020,Margin of Error,349.0,3.2,830.0
26,60021,Estimate,80.0,1.4,5592.0
27,60021,Margin of Error,56.0,1.0,426.0
28,60022,Estimate,139.0,1.7,8245.0
29,60022,Margin of Error,81.0,1.0,407.0
30,60025,Estimate,3447.0,8.4,41260.0
31,60025,Margin of Error,957.0,2.2,1342.0
32,60026,Estimate,376.0,2.8,13371.0
33,60026,Margin of Error,257.0,1.9,899.0
34,60029,Estimate,18.0,3.5,512.0
35,60029,Margin of Error,20.0,3.9,93.0
36,60030,Estimate,2247.0,6.3,35416.0
37,60030,Margin of Error,548.0,1.5,907.0
38,60031,Estimate,1778.0,4.7,37629.0
39,60031,Margin of Error,406.0,1.1,893.0
40,60033,Estimate,2284.0,17.0,13412.0
41,60033,Margin of Error,635.0,4.7,464.0
42,60034,Estimate,202.0,9.1,2230.0
43,60034,Margin of Error,101.0,4.7,359.0
44,60035,Estimate,1350.0,4.6,29372.0
45,60035,Margin of Error,307.0,1.0,133.0
46,60040,Estimate,843.0,16.2,5204.0
47,60040,Margin of Error,464.0,8.9,68.0
48,60041,Estimate,754.0,9.2,8224.0
49,60041,Margin of Error,371.0,4.5,852.0
50,60042,Estimate,768.0,9.1,8415.0
51,60042,Margin of Error,290.0,3.4,258.0
52,60043,Estimate,81.0,3.4,2356.0
53,60043,Margin of Error,40.0,1.7,206.0
54,60044,Estimate,581.0,5.8,10050.0
55,60044,Margin of Error,201.0,1.9,368.0
56,60045,Estimate,594.0,2.9,20425.0
57,60045,Margin of Error,221.0,1.1,787.0
58,60046,Estimate,1739.0,5.1,34402.0
59,60046,Margin of Error,584.0,1.7,730.0
60,60047,Estimate,1195.0,2.9,41539.0
61,60047,Margin of Error,424.0,1.0,585.0
62,60048,Estimate,969.0,3.3,29017.0
63,60048,Margin of Error,300.0,1.0,659.0
64,60050,Estimate,2224.0,7.0,31656.0
65,60050,Margin of Error,764.0,2.4,840.0
66,60051,Estimate,1340.0,5.8,23074.0
67,60051,Margin of Error,487.0,2.1,1071.0
68,60053,Estimate,1604.0,7.0,22769.0
69,60053,Margin of Error,598.0,2.6,98.0
70,60056,Estimate,2940.0,5.5,53711.0
71,60056,Margin of Error,592.0,1.1,540.0
72,60060,Estimate,2618.0,7.1,36988.0
73,60060,Margin of Error,982.0,2.6,787.0
74,60061,Estimate,1758.0,6.5,27018.0
75,60061,Margin of Error,560.0,2.1,329.0
76,60062,Estimate,1630.0,4.2,39144.0
77,60062,Margin of Error,425.0,1.1,733.0
78,60064,Estimate,3132.0,21.5,14567.0
79,60064,Margin of Error,606.0,4.0,681.0
80,60067,Estimate,2539.0,6.6,38300.0
81,60067,Margin of Error,777.0,2.0,1672.0
82,60068,Estimate,1442.0,3.9,36946.0
83,60068,Margin of Error,462.0,1.3,365.0
84,60069,Estimate,415.0,5.1,8060.0
85,60069,Margin of Error,159.0,2.0,535.0
86,60070,Estimate,1498.0,9.7,15486.0
87,60070,Margin of Error,598.0,3.8,264.0
88,60071,Estimate,488.0,13.7,3551.0
89,60071,Margin of Error,210.0,6.0,233.0
90,60072,Estimate,44.0,4.4,1008.0
91,60072,Margin of Error,37.0,3.7,259.0
92,60073,Estimate,4492.0,7.3,61547.0
93,60073,Margin of Error,1022.0,1.6,1087.0
94,60074,Estimate,4549.0,12.1,37632.0
95,60074,Margin of Error,1228.0,3.1,1614.0
96,60076,Estimate,2982.0,9.6,30996.0
97,60076,Margin of Error,660.0,2.1,1308.0
98,60077,Estimate,2858.0,10.4,27466.0
99,60077,Margin of Error,852.0,3.0,1345.0
100,60081,Estimate,453.0,4.8,9482.0
101,60081,Margin of Error,219.0,2.2,420.0
102,60083,Estimate,262.0,2.8,9477.0
103,60083,Margin of Error,180.0,1.9,629.0
104,60084,Estimate,822.0,4.9,16919.0
105,60084,Margin of Error,288.0,1.7,624.0
106,60085,Estimate,12733.0,18.3,69620.0
107,60085,Margin of Error,1622.0,2.3,1602.0
108,60087,Estimate,2013.0,8.0,25102.0
109,60087,Margin of Error,751.0,3.0,1884.0
110,60088,Estimate,503.0,14.2,3544.0
111,60088,Margin of Error,601.0,15.3,672.0
112,60089,Estimate,2007.0,4.9,40611.0
113,60089,Margin of Error,871.0,2.2,175.0
114,60090,Estimate,3163.0,8.3,38130.0
115,60090,Margin of Error,799.0,2.1,272.0
