,Zipcode,Stats,SEX,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,Female,1066.0,8.9,11940.0
1,60002,Estimate,Male,784.0,6.6,11949.0
2,60002,Margin of Error,Female,263.0,2.2,391.0
3,60002,Margin of Error,Male,211.0,1.7,487.0
4,60004,Estimate,Female,1585.0,6.1,26183.0
5,60004,Estimate,Male,1022.0,4.1,24842.0
6,60004,Margin of Error,Female,403.0,1.5,559.0
7,60004,Margin of Error,Male,342.0,1.4,865.0
8,60005,Estimate,Female,1118.0,7.9,14238.0
9,60005,Estimate,Male,595.0,4.1,14680.0
10,60005,Margin of Error,Female,347.0,2.4,625.0
11,60005,Margin of Error,Male,236.0,1.6,929.0
12,60007,Estimate,Female,574.0,3.4,16997.0
13,60007,Estimate,Male,725.0,4.7,15561.0
14,60007,Margin of Error,Female,184.0,1.1,580.0
15,60007,Margin of Error,Male,331.0,2.1,594.0
16,60008,Estimate,Female,699.0,6.6,10561.0
17,60008,Estimate,Male,599.0,5.3,11234.0
18,60008,Margin of Error,Female,256.0,2.4,546.0
19,60008,Margin of Error,Male,280.0,2.5,684.0
20,60010,Estimate,Female,1011.0,4.3,23651.0
21,60010,Estimate,Male,670.0,3.0,22332.0
22,60010,Margin of Error,Female,330.0,1.4,643.0
23,60010,Margin of Error,Male,247.0,1.1,660.0
24,60012,Estimate,Female,197.0,3.3,5938.0
25,60012,Estimate,Male,182.0,3.4,5404.0
26,60012,Margin of Error,Female,112.0,1.9,444.0
27,60012,Margin of Error,Male,103.0,1.9,419.0
28,60013,Estimate,Female,613.0,4.7,13031.0
29,60013,Estimate,Male,382.0,2.8,13422.0
30,60013,Margin of Error,Female,191.0,1.5,495.0
31,60013,Margin of Error,Male,113.0,0.8,637.0
32,60014,Estimate,Female,1665.0,7.3,22747.0
33,60014,Estimate,Male,1379.0,5.8,23848.0
34,60014,Margin of Error,Female,486.0,2.1,660.0
35,60014,Margin of Error,Male,304.0,1.3,770.0
36,60015,Estimate,Female,490.0,3.7,13230.0
37,60015,Estimate,Male,376.0,2.9,12800.0
38,60015,Margin of Error,Female,183.0,1.4,411.0
39,60015,Margin of Error,Male,176.0,1.4,451.0
40,60016,Estimate,Female,2906.0,9.4,30771.0
41,60016,Estimate,Male,2138.0,7.6,28014.0
42,60016,Margin of Error,Female,534.0,1.7,1057.0
43,60016,Margin of Error,Male,448.0,1.6,1056.0
44,60018,Estimate,Female,2015.0,14.2,14158.0
45,60018,Estimate,Male,1515.0,10.9,13847.0
46,60018,Margin of Error,Female,524.0,3.4,890.0
47,60018,Margin of Error,Male,365.0,2.6,817.0
48,60020,Estimate,Female,640.0,11.1,5745.0
49,60020,Estimate,Male,266.0,5.7,4691.0
50,60020,Margin of Error,Female,307.0,4.8,551.0
51,60020,Margin of Error,Male,106.0,2.3,433.0
52,60021,Estimate,Female,54.0,1.9,2809.0
53,60021,Estimate,Male,26.0,0.9,2783.0
54,60021,Margin of Error,Female,50.0,1.8,303.0
55,60021,Margin of Error,Male,30.0,1.1,300.0
56,60022,Estimate,Female,107.0,2.5,4296.0
57,60022,Estimate,Male,32.0,0.8,3949.0
58,60022,Margin of Error,Female,66.0,1.5,345.0
59,60022,Margin of Error,Male,27.0,0.7,347.0
60,60025,Estimate,Female,2151.0,10.1,21234.0
61,60025,Estimate,Male,1296.0,6.5,20026.0
62,60025,Margin of Error,Female,694.0,3.1,991.0
63,60025,Margin of Error,Male,336.0,1.7,824.0
64,60026,Estimate,Female,280.0,4.0,6957.0
65,60026,Estimate,Male,96.0,1.5,6414.0
66,60026,Margin of Error,Female,205.0,2.9,634.0
67,60026,Margin of Error,Male,106.0,1.6,483.0
68,60029,Estimate,Female,16.0,6.7,238.0
69,60029,Estimate,Male,2.0,0.7,274.0
70,60029,Margin of Error,Female,19.0,7.7,54.0
71,60029,Margin of Error,Male,5.0,1.9,62.0
72,60030,Estimate,Female,1100.0,6.4,17233.0
73,60030,Estimate,Male,1147.0,6.3,18183.0
74,60030,Margin of Error,Female,296.0,1.7,602.0
75,60030,Margin of Error,Male,326.0,1.8,761.0
76,60031,Estimate,Female,1058.0,5.5,19251.0
77,60031,Estimate,Male,720.0,3.9,18378.0
78,60031,Margin of Error,Female,278.0,1.4,651.0
79,60031,Margin of Error,Male,260.0,1.4,977.0
80,60033,Estimate,Female,1153.0,16.8,6867.0
81,60033,Estimate,Male,1131.0,17.3,6545.0
82,60033,Margin of Error,Female,381.0,5.3,376.0
83,60033,Margin of Error,Male,372.0,5.7,371.0
84,60034,Estimate,Female,84.0,7.3,1144.0
85,60034,Estimate,Male,118.0,10.9,1086.0
86,60034,Margin of Error,Female,43.0,4.6,309.0
87,60034,Margin of Error,Male,70.0,6.0,163.0
88,60035,Estimate,Female,734.0,4.8,15227.0
89,60035,Estimate,Male,616.0,4.4,14145.0
90,60035,Margin of Error,Female,203.0,1.3,355.0
91,60035,Margin of Error,Male,166.0,1.2,352.0
92,60040,Estimate,Female,433.0,17.5,2473.0
93,60040,Estimate,Male,410.0,15.0,2731.0
94,60040,Margin of Error,Female,201.0,8.1,233.0
95,60040,Margin of Error,Male,288.0,10.5,237.0
96,60041,Estimate,Female,444.0,11.0,4025.0
97,60041,Estimate,Male,310.0,7.4,4199.0
98,60041,Margin of Error,Female,241.0,5.7,678.0
99,60041,Margin of Error,Male,192.0,4.5,499.0
100,60042,Estimate,Female,588.0,13.8,4270.0
101,60042,Estimate,Male,180.0,4.3,4145.0
102,60042,Margin of Error,Female,242.0,5.3,323.0
103,60042,Margin of Error,Male,81.0,2.0,277.0
104,60043,Estimate,Female,65.0,5.6,1165.0
105,60043,Estimate,Male,16.0,1.3,1191.0
106,60043,Margin of Error,Female,33.0,2.9,146.0
107,60043,Margin of Error,Male,13.0,1.1,133.0
108,60044,Estimate,Female,364.0,6.7,5404.0
109,60044,Estimate,Male,217.0,4.7,4646.0
110,60044,Margin of Error,Female,156.0,2.8,278.0
111,60044,Margin of Error,Male,94.0,2.0,347.0
112,60045,Estimate,Female,306.0,2.9,10472.0
113,60045,Estimate,Male,288.0,2.9,9953.0
114,60045,Margin of Error,Female,137.0,1.3,507.0
115,60045,Margin of Error,Male,120.0,1.2,455.0
116,60046,Estimate,Female,958.0,5.5,17334.0
117,60046,Estimate,Male,781.0,4.6,17068.0
118,60046,Margin of Error,Female,325.0,1.9,649.0
119,60046,Margin of Error,Male,296.0,1.7,578.0
120,60047,Estimate,Female,706.0,3.4,20901.0
121,60047,Estimate,Male,489.0,2.4,20638.0
122,60047,Margin of Error,Female,239.0,1.1,624.0
123,60047,Margin of Error,Male,218.0,1.1,573.0
124,60048,Estimate,Female,543.0,3.7,14664.0
125,60048,Estimate,Male,426.0,3.0,14353.0
126,60048,Margin of Error,Female,153.0,1.1,509.0
127,60048,Margin of Error,Male,173.0,1.2,517.0
128,60050,Estimate,Female,1222.0,7.6,16069.0
129,60050,Estimate,Male,1002.0,6.4,15587.0
130,60050,Margin of Error,Female,471.0,2.9,692.0
131,60050,Margin of Error,Male,383.0,2.4,723.0
132,60051,Estimate,Female,682.0,6.0,11296.0
133,60051,Estimate,Male,658.0,5.6,11778.0
134,60051,Margin of Error,Female,272.0,2.4,717.0
135,60051,Margin of Error,Male,286.0,2.4,687.0
136,60053,Estimate,Female,891.0,7.7,11521.0
137,60053,Estimate,Male,713.0,6.3,11248.0
138,60053,Margin of Error,Female,305.0,2.6,360.0
139,60053,Margin of Error,Male,352.0,3.1,365.0
140,60056,Estimate,Female,1614.0,6.0,27021.0
141,60056,Estimate,Male,1326.0,5.0,26690.0
142,60056,Margin of Error,Female,345.0,1.3,822.0
143,60056,Margin of Error,Male,336.0,1.3,730.0
144,60060,Estimate,Female,1691.0,9.3,18198.0
145,60060,Estimate,Male,927.0,4.9,18790.0
146,60060,Margin of Error,Female,901.0,4.8,708.0
147,60060,Margin of Error,Male,377.0,1.9,737.0
148,60061,Estimate,Female,1039.0,7.5,13910.0
149,60061,Estimate,Male,719.0,5.5,13108.0
150,60061,Margin of Error,Female,320.0,2.3,503.0
151,60061,Margin of Error,Male,279.0,2.1,457.0
152,60062,Estimate,Female,860.0,4.2,20501.0
153,60062,Estimate,Male,770.0,4.1,18643.0
154,60062,Margin of Error,Female,258.0,1.3,471.0
155,60062,Margin of Error,Male,248.0,1.3,683.0
156,60064,Estimate,Female,1648.0,23.3,7074.0
157,60064,Estimate,Male,1484.0,19.8,7493.0
158,60064,Margin of Error,Female,325.0,4.5,451.0
159,60064,Margin of Error,Male,421.0,5.0,505.0
160,60067,Estimate,Female,1497.0,7.3,20578.0
161,60067,Estimate,Male,1042.0,5.9,17722.0
162,60067,Margin of Error,Female,502.0,2.4,1058.0
163,60067,Margin of Error,Male,339.0,1.9,882.0
164,60068,Estimate,Female,894.0,4.7,18861.0
165,60068,Estimate,Male,548.0,3.0,18085.0
166,60068,Margin of Error,Female,343.0,1.8,623.0
167,60068,Margin of Error,Male,223.0,1.2,639.0
168,60069,Estimate,Female,239.0,5.9,4085.0
169,60069,Estimate,Male,176.0,4.4,3975.0
170,60069,Margin of Error,Female,95.0,2.2,322.0
171,60069,Margin of Error,Male,99.0,2.5,317.0
172,60070,Estimate,Female,745.0,10.1,7399.0
173,60070,Estimate,Male,753.0,9.3,8087.0
174,60070,Margin of Error,Female,271.0,3.7,383.0
175,60070,Margin of Error,Male,355.0,4.3,397.0
176,60071,Estimate,Female,222.0,12.4,1785.0
177,60071,Estimate,Male,266.0,15.1,1766.0
178,60071,Margin of Error,Female,100.0,5.7,172.0
179,60071,Margin of Error,Male,138.0,7.7,159.0
180,60072,Estimate,Female,22.0,4.2,518.0
181,60072,Estimate,Male,22.0,4.5,490.0
182,60072,Margin of Error,Female,17.0,3.2,142.0
183,60072,Margin of Error,Male,24.0,5.1,133.0
184,60073,Estimate,Female,2585.0,8.5,30321.0
185,60073,Estimate,Male,1907.0,6.1,31226.0
186,60073,Margin of Error,Female,673.0,2.2,898.0
187,60073,Margin of Error,Male,468.0,1.5,926.0
188,60074,Estimate,Female,2298.0,12.0,19156.0
189,60074,Estimate,Male,2251.0,12.2,18476.0
190,60074,Margin of Error,Female,627.0,3.1,1033.0
191,60074,Margin of Error,Male,698.0,3.6,970.0
192,60076,Estimate,Female,1555.0,9.3,16691.0
193,60076,Estimate,Male,1427.0,10.0,14305.0
194,60076,Margin of Error,Female,380.0,2.2,821.0
195,60076,Margin of Error,Male,399.0,2.7,786.0
196,60077,Estimate,Female,1723.0,12.2,14099.0
197,60077,Estimate,Male,1135.0,8.5,13367.0
198,60077,Margin of Error,Female,502.0,3.4,831.0
199,60077,Margin of Error,Male,451.0,3.3,929.0
200,60081,Estimate,Female,184.0,4.3,4308.0
201,60081,Estimate,Male,269.0,5.2,5174.0
202,60081,Margin of Error,Female,91.0,2.0,329.0
203,60081,Margin of Error,Male,156.0,2.9,348.0
204,60083,Estimate,Female,184.0,4.0,4605.0
205,60083,Estimate,Male,78.0,1.6,4872.0
206,60083,Margin of Error,Female,130.0,2.8,443.0
207,60083,Margin of Error,Male,61.0,1.3,465.0
208,60084,Estimate,Female,370.0,4.4,8474.0
209,60084,Estimate,Male,452.0,5.4,8445.0
210,60084,Margin of Error,Female,152.0,1.8,488.0
211,60084,Margin of Error,Male,171.0,1.9,490.0
212,60085,Estimate,Female,7167.0,20.2,35396.0
213,60085,Estimate,Male,5566.0,16.3,34224.0
214,60085,Margin of Error,Female,953.0,2.7,1060.0
215,60085,Margin of Error,Male,820.0,2.4,1049.0
216,60087,Estimate,Female,1308.0,10.2,12775.0
217,60087,Estimate,Male,705.0,5.7,12327.0
218,60087,Margin of Error,Female,501.0,3.8,1152.0
219,60087,Margin of Error,Male,298.0,2.5,1060.0
220,60088,Estimate,Female,428.0,21.9,1951.0
221,60088,Estimate,Male,75.0,4.7,1593.0
222,60088,Margin of Error,Female,593.0,25.4,620.0
223,60088,Margin of Error,Male,78.0,4.7,307.0
224,60089,Estimate,Female,1211.0,5.7,21415.0
225,60089,Estimate,Male,796.0,4.1,19196.0
226,60089,Margin of Error,Female,568.0,2.6,473.0
227,60089,Margin of Error,Male,325.0,1.7,481.0
228,60090,Estimate,Female,1681.0,8.6,19548.0
229,60090,Estimate,Male,1482.0,8.0,18582.0
230,60090,Margin of Error,Female,458.0,2.3,669.0
231,60090,Margin of Error,Male,476.0,2.5,716.0
232,60091,Estimate,Female,404.0,2.9,13753.0
233,60091,Estimate,Male,477.0,3.6,13135.0
234,60091,Margin of Error,Female,99.0,0.7,415.0
235,60091,Margin of Error,Male,197.0,1.5,408.0
236,60093,Estimate,Female,568.0,5.6,10220.0
237,60093,Estimate,Male,386.0,4.0,9574.0
238,60093,Margin of Error,Female,183.0,1.7,471.0
239,60093,Margin of Error,Male,151.0,1.6,339.0
240,60096,Estimate,Female,73.0,2.2,3343.0
241,60096,Estimate,Male,72.0,2.2,3344.0
242,60096,Margin of Error,Female,46.0,1.4,189.0
243,60096,Margin of Error,Male,56.0,1.7,193.0
244,60097,Estimate,Female,578.0,11.1,5206.0
245,60097,Estimate,Male,336.0,6.3,5376.0
246,60097,Margin of Error,Female,417.0,7.3,534.0
247,60097,Margin of Error,Male,162.0,2.9,482.0
248,60098,Estimate,Female,1651.0,10.2,16223.0
249,60098,Estimate,Male,1296.0,8.5,15169.0
250,60098,Margin of Error,Female,341.0,2.1,592.0
251,60098,Margin of Error,Male,363.0,2.4,621.0
252,60099,Estimate,Female,2499.0,15.9,15693.0
253,60099,Estimate,Male,1663.0,11.8,14045.0
254,60099,Margin of Error,Female,556.0,3.5,727.0
255,60099,Margin of Error,Male,409.0,2.9,869.0
256,60101,Estimate,Female,2865.0,14.7,19508.0
257,60101,Estimate,Male,2197.0,11.6,18927.0
258,60101,Margin of Error,Female,552.0,2.7,627.0
259,60101,Margin of Error,Male,444.0,2.4,522.0
260,60102,Estimate,Female,470.0,2.8,16562.0
261,60102,Estimate,Male,854.0,5.3,16118.0
262,60102,Margin of Error,Female,193.0,1.2,579.0
263,60102,Margin of Error,Male,419.0,2.5,670.0
264,60103,Estimate,Female,996.0,4.8,20589.0
265,60103,Estimate,Male,715.0,3.4,21144.0
266,60103,Margin of Error,Female,277.0,1.3,562.0
267,60103,Margin of Error,Male,260.0,1.2,612.0
268,60104,Estimate,Female,1182.0,11.7,10126.0
269,60104,Estimate,Male,888.0,10.5,8496.0
270,60104,Margin of Error,Female,431.0,4.2,591.0
271,60104,Margin of Error,Male,538.0,6.2,601.0
272,60106,Estimate,Female,1033.0,10.4,9948.0
273,60106,Estimate,Male,927.0,9.3,9941.0
274,60106,Margin of Error,Female,353.0,3.6,465.0
275,60106,Margin of Error,Male,355.0,3.5,463.0
276,60107,Estimate,Female,1458.0,7.3,19963.0
277,60107,Estimate,Male,1240.0,6.3,19702.0
278,60107,Margin of Error,Female,426.0,2.1,915.0
