,Zipcode,Stats,WORK EXPERIENCE,Below poverty level,Percent below poverty level,Total
0,60002,Estimate,Did not work,814.0,14.5,5595.0
1,60002,Estimate,Population 16 years and over,1385.0,7.2,19197.0
2,60002,Estimate,"Worked full-time, year-round in the past 12 months",52.0,0.6,8776.0
3,60002,Estimate,Worked part-time or part-year in the past 12 months,519.0,10.8,4826.0
4,60002,Margin of Error,Did not work,203.0,3.5,401.0
5,60002,Margin of Error,Population 16 years and over,281.0,1.5,479.0
6,60002,Margin of Error,"Worked full-time, year-round in the past 12 months",33.0,0.4,474.0
7,60002,Margin of Error,Worked part-time or part-year in the past 12 months,195.0,3.7,449.0
8,60004,Estimate,Did not work,1143.0,9.9,11575.0
9,60004,Estimate,Population 16 years and over,1959.0,4.9,40015.0
10,60004,Estimate,"Worked full-time, year-round in the past 12 months",250.0,1.3,19440.0
11,60004,Estimate,Worked part-time or part-year in the past 12 months,566.0,6.3,9000.0
12,60004,Margin of Error,Did not work,398.0,3.2,821.0
13,60004,Margin of Error,Population 16 years and over,490.0,1.2,1010.0
14,60004,Margin of Error,"Worked full-time, year-round in the past 12 months",91.0,0.5,950.0
15,60004,Margin of Error,Worked part-time or part-year in the past 12 months,178.0,1.9,719.0
16,60005,Estimate,Did not work,965.0,13.9,6945.0
17,60005,Estimate,Population 16 years and over,1483.0,6.4,23178.0
18,60005,Estimate,"Worked full-time, year-round in the past 12 months",144.0,1.3,10992.0
19,60005,Estimate,Worked part-time or part-year in the past 12 months,374.0,7.1,5241.0
20,60005,Margin of Error,Did not work,250.0,3.5,618.0
21,60005,Margin of Error,Population 16 years and over,370.0,1.6,1046.0
22,60005,Margin of Error,"Worked full-time, year-round in the past 12 months",94.0,0.9,779.0
23,60005,Margin of Error,Worked part-time or part-year in the past 12 months,192.0,3.6,486.0
24,60007,Estimate,Did not work,619.0,7.6,8119.0
25,60007,Estimate,Population 16 years and over,919.0,3.4,26757.0
26,60007,Estimate,"Worked full-time, year-round in the past 12 months",99.0,0.7,13548.0
27,60007,Estimate,Worked part-time or part-year in the past 12 months,201.0,3.9,5090.0
28,60007,Margin of Error,Did not work,200.0,2.4,561.0
29,60007,Margin of Error,Population 16 years and over,235.0,0.9,517.0
30,60007,Margin of Error,"Worked full-time, year-round in the past 12 months",60.0,0.4,673.0
31,60007,Margin of Error,Worked part-time or part-year in the past 12 months,76.0,1.5,519.0
32,60008,Estimate,Did not work,663.0,13.9,4777.0
33,60008,Estimate,Population 16 years and over,1072.0,6.2,17158.0
34,60008,Estimate,"Worked full-time, year-round in the past 12 months",121.0,1.4,8451.0
35,60008,Estimate,Worked part-time or part-year in the past 12 months,288.0,7.3,3930.0
36,60008,Margin of Error,Did not work,242.0,4.9,577.0
37,60008,Margin of Error,Population 16 years and over,360.0,2.1,646.0
38,60008,Margin of Error,"Worked full-time, year-round in the past 12 months",112.0,1.3,656.0
39,60008,Margin of Error,Worked part-time or part-year in the past 12 months,155.0,3.9,446.0
40,60010,Estimate,Did not work,974.0,7.6,12789.0
41,60010,Estimate,Population 16 years and over,1389.0,3.8,36141.0
42,60010,Estimate,"Worked full-time, year-round in the past 12 months",66.0,0.4,15681.0
43,60010,Estimate,Worked part-time or part-year in the past 12 months,349.0,4.5,7671.0
44,60010,Margin of Error,Did not work,289.0,2.3,789.0
45,60010,Margin of Error,Population 16 years and over,374.0,1.1,985.0
46,60010,Margin of Error,"Worked full-time, year-round in the past 12 months",55.0,0.3,797.0
47,60010,Margin of Error,Worked part-time or part-year in the past 12 months,135.0,1.7,650.0
48,60012,Estimate,Did not work,160.0,7.0,2275.0
49,60012,Estimate,Population 16 years and over,286.0,3.1,9193.0
50,60012,Estimate,"Worked full-time, year-round in the past 12 months",29.0,0.6,4547.0
51,60012,Estimate,Worked part-time or part-year in the past 12 months,97.0,4.1,2371.0
52,60012,Margin of Error,Did not work,95.0,4.0,310.0
53,60012,Margin of Error,Population 16 years and over,154.0,1.6,642.0
54,60012,Margin of Error,"Worked full-time, year-round in the past 12 months",28.0,0.6,465.0
55,60012,Margin of Error,Worked part-time or part-year in the past 12 months,84.0,3.5,335.0
56,60013,Estimate,Did not work,343.0,7.5,4603.0
57,60013,Estimate,Population 16 years and over,754.0,3.5,21264.0
58,60013,Estimate,"Worked full-time, year-round in the past 12 months",77.0,0.7,11023.0
59,60013,Estimate,Worked part-time or part-year in the past 12 months,334.0,5.9,5638.0
60,60013,Margin of Error,Did not work,115.0,2.4,428.0
61,60013,Margin of Error,Population 16 years and over,179.0,0.8,816.0
62,60013,Margin of Error,"Worked full-time, year-round in the past 12 months",39.0,0.3,628.0
63,60013,Margin of Error,Worked part-time or part-year in the past 12 months,135.0,2.4,466.0
64,60014,Estimate,Did not work,988.0,9.7,10229.0
65,60014,Estimate,Population 16 years and over,2175.0,5.9,36844.0
66,60014,Estimate,"Worked full-time, year-round in the past 12 months",214.0,1.3,16912.0
67,60014,Estimate,Worked part-time or part-year in the past 12 months,973.0,10.0,9703.0
68,60014,Margin of Error,Did not work,255.0,2.4,695.0
69,60014,Margin of Error,Population 16 years and over,546.0,1.5,889.0
70,60014,Margin of Error,"Worked full-time, year-round in the past 12 months",114.0,0.7,659.0
71,60014,Margin of Error,Worked part-time or part-year in the past 12 months,329.0,3.3,705.0
72,60015,Estimate,Did not work,380.0,6.8,5624.0
73,60015,Estimate,Population 16 years and over,666.0,3.3,20363.0
74,60015,Estimate,"Worked full-time, year-round in the past 12 months",61.0,0.6,9411.0
75,60015,Estimate,Worked part-time or part-year in the past 12 months,225.0,4.2,5328.0
76,60015,Margin of Error,Did not work,131.0,2.4,421.0
77,60015,Margin of Error,Population 16 years and over,204.0,1.0,517.0
78,60015,Margin of Error,"Worked full-time, year-round in the past 12 months",74.0,0.8,484.0
79,60015,Margin of Error,Worked part-time or part-year in the past 12 months,135.0,2.5,478.0
80,60016,Estimate,Did not work,2571.0,17.2,14987.0
81,60016,Estimate,Population 16 years and over,3827.0,7.8,49039.0
82,60016,Estimate,"Worked full-time, year-round in the past 12 months",193.0,0.8,22902.0
83,60016,Estimate,Worked part-time or part-year in the past 12 months,1063.0,9.5,11150.0
84,60016,Margin of Error,Did not work,422.0,2.8,943.0
85,60016,Margin of Error,Population 16 years and over,567.0,1.2,1232.0
86,60016,Margin of Error,"Worked full-time, year-round in the past 12 months",108.0,0.5,1097.0
87,60016,Margin of Error,Worked part-time or part-year in the past 12 months,270.0,2.4,787.0
88,60018,Estimate,Did not work,1441.0,20.9,6901.0
89,60018,Estimate,Population 16 years and over,2332.0,10.5,22252.0
90,60018,Estimate,"Worked full-time, year-round in the past 12 months",276.0,2.7,10266.0
91,60018,Estimate,Worked part-time or part-year in the past 12 months,615.0,12.1,5085.0
92,60018,Margin of Error,Did not work,392.0,5.1,623.0
93,60018,Margin of Error,Population 16 years and over,523.0,2.3,1103.0
94,60018,Margin of Error,"Worked full-time, year-round in the past 12 months",134.0,1.3,693.0
95,60018,Margin of Error,Worked part-time or part-year in the past 12 months,209.0,3.7,491.0
96,60020,Estimate,Did not work,471.0,16.8,2802.0
97,60020,Estimate,Population 16 years and over,824.0,9.2,8912.0
98,60020,Estimate,"Worked full-time, year-round in the past 12 months",8.0,0.2,4040.0
99,60020,Estimate,Worked part-time or part-year in the past 12 months,345.0,16.7,2070.0
100,60020,Margin of Error,Did not work,235.0,7.7,399.0
101,60020,Margin of Error,Population 16 years and over,334.0,3.5,788.0
102,60020,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,0.3,458.0
103,60020,Margin of Error,Worked part-time or part-year in the past 12 months,227.0,8.4,533.0
104,60021,Estimate,Did not work,55.0,6.0,911.0
105,60021,Estimate,Population 16 years and over,80.0,1.8,4501.0
106,60021,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,2394.0
107,60021,Estimate,Worked part-time or part-year in the past 12 months,25.0,2.1,1196.0
108,60021,Margin of Error,Did not work,47.0,5.0,228.0
109,60021,Margin of Error,Population 16 years and over,56.0,1.2,427.0
110,60021,Margin of Error,"Worked full-time, year-round in the past 12 months",17.0,1.3,315.0
111,60021,Margin of Error,Worked part-time or part-year in the past 12 months,30.0,2.6,298.0
112,60022,Estimate,Did not work,109.0,4.0,2722.0
113,60022,Estimate,Population 16 years and over,139.0,2.2,6249.0
114,60022,Estimate,"Worked full-time, year-round in the past 12 months",16.0,0.7,2184.0
115,60022,Estimate,Worked part-time or part-year in the past 12 months,14.0,1.0,1343.0
